award_id,recipient,awarding_agency,sub_agency,start_year,obligated_amount,total_award_value,award_description,project_class,fabrication_inclusive,scope_confidence,source_url,notes,state
TX-0010,MUSEWORK,Historical Commission,,2017,23362.0,,INTERPRETIVE PANEL DESIGN,kiosk,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-17-2201,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Design only",TX
TX-0011,Dixon Studios LLC,Historical Commission,,2020,506526.0,,Caddo Mounds Exhibits,multi_station,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-21-201316,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Caddo Mounds State Historic Site",TX
TX-0012,HISTORY BEHIND THE SCENES,Historical Commission,,2022,61848.0,,Interpretive Masterplan for Goodnight Ranch SHS,other,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-22-220994,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Interpretive master plan, planning only",TX
TX-0013,G&A STRATEGY AND DESIGN LLC,Historical Commission,,2023,150043.0,,Presidio La Bahia Interpretive Master Plan,other,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-23-230192,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Interpretive master plan, planning only",TX
TX-0014,CINNABAR CALIFORNIA INC.,Historical Commission,,2023,401064.0,,Gallery Exhibits at Caddo Moun,multi_station,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-23-231666,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Caddo Mounds State Historic Site",TX
TX-0015,STORY REASON LLC,Historical Commission,,2024,58000.0,,Develop WorkBook Exhibit Desig,single_interactive,n,low,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-24-241449,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Small dollar, ambiguous scope",TX
TX-0016,DESIGN AND PRODUCTION INCORPORATED,Historical Commission,,2024,57442500.0,,Museum Design/Exhibit Svcs - Star of the Republic,building_wide,y,low,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-20-R201162,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Very large dollar value relative to peer awards; likely a multi-year IDIQ ceiling/ not-to-exceed value rather than single-project spend. Star of the Republic Museum.",TX
TX-0017,FERMATA INC.,Historical Commission,,2024,82140.0,,Interpretive Planning Services,other,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-24-231609,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Planning only",TX
TX-0018,SUSAN ATHERTON HANSON,Historical Commission,,2024,94986.0,,Interpretive Planning Services,other,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-24-231608,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Planning only",TX
TX-0019,DESIGN AND PRODUCTION INCORPORATED,Historical Commission,,2024,13500000.0,,Iwo Jima Monument Museum,building_wide,y,low,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-24-241089,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Large dollar value; possibly IDIQ ceiling rather than single project spend. Texas State Cemetery/Iwo Jima Monument museum.",TX
TX-0020,"TERRACON CONSULTANTS, INC.",Historical Commission,,2025,132154.0,,Interpretive Master Plan Sam B,other,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=808&cid=808-25-231611,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Interpretive master plan, planning only",TX
TX-0021,SOMMERVILLE WILSON INC,Parks and Wildlife Department,,2014,615890.0,,Museum & Interpretive Services,multi_station,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=449722,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer.",TX
TX-0022,BROCKINGTON AND ASSOCIATES INC,Parks and Wildlife Department,,2014,335837.0,,Museum and interpretive services,other,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=449726,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Brockington and Associates is a cultural-resources/archaeology firm; scope likely research/planning rather than fabrication",TX
TX-0023,BROCKINGTON AND ASSOCIATES INC,Parks and Wildlife Department,,2016,111851.0,,Contracted Services of Mission Tejas Exhibit Hall,multi_station,unknown,med,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=490527,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Mission Tejas State Park",TX
TX-0024,BROCKINGTON AND ASSOCIATES INC,Parks and Wildlife Department,,2017,181500.0,,Contracted Services of Mission Tejas Exhibit Hall,multi_station,unknown,med,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=497738,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Mission Tejas State Park",TX
TX-0025,MIKOCORP LLC,Parks and Wildlife Department,,2019,80020.0,,MR10301 Ray Roberts Lake SP New Interpretive Bldg,building_wide,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=517740,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Ray Roberts Lake State Park new interpretive building",TX
TX-0026,"Building Four Fabrication, LLC.",Parks and Wildlife Department,,2020,100000.0,,Museum and Interpretive Services,multi_station,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=535892,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. One of seven identical $100,000 same-day awards; appears to be a multi-vendor on-call/IDIQ pool, not a single discrete project",TX
TX-0027,"Riggs Ward Design, L.C.",Parks and Wildlife Department,,2020,100000.0,,Museum and Interpretive Services,multi_station,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=535894,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. One of seven identical $100,000 same-day awards; multi-vendor on-call/IDIQ pool",TX
TX-0028,"Museum Arts, Inc.",Parks and Wildlife Department,,2020,100000.0,,Museum and Interpretive Services,multi_station,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=535896,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. One of seven identical $100,000 same-day awards; multi-vendor on-call/IDIQ pool",TX
TX-0029,Capitol Exhibit Services,Parks and Wildlife Department,,2020,100000.0,,Museum and Interpretive Services,multi_station,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=535905,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. One of seven identical $100,000 same-day awards; multi-vendor on-call/IDIQ pool",TX
TX-0030,"TAYLOR STUDIOS, INC.",Parks and Wildlife Department,,2020,100000.0,,Museum and Interpretive Services,multi_station,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=535906,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. One of seven identical $100,000 same-day awards; multi-vendor on-call/IDIQ pool",TX
TX-0031,Single Wing dba Single Wing Creative,Parks and Wildlife Department,,2020,100000.0,,Museum and Interpretive Services,multi_station,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=535915,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. One of seven identical $100,000 same-day awards; multi-vendor on-call/IDIQ pool",TX
TX-0032,EXHIBIT CONCEPTS INC,Parks and Wildlife Department,,2020,100000.0,,Museum and Interpretive Services,multi_station,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=535946,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. One of seven identical $100,000 same-day awards; multi-vendor on-call/IDIQ pool",TX
TX-0033,BROCKINGTON AND ASSOCIATES INC,Parks and Wildlife Department,,2024,300000.0,,SP-Museum and Interpretive Srv,other,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=CA-0007243,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. One of several same-day awards to different vendors; multi-vendor on-call/IDIQ pool",TX
TX-0034,MUSEWORK LLC,Parks and Wildlife Department,,2024,225000.0,,SP-Museum and Interpretive Srv,multi_station,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=CA-0007245,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. One of several same-day awards to different vendors; multi-vendor on-call/IDIQ pool",TX
TX-0035,TIMELOOPER INC,Parks and Wildlife Department,,2024,100000.0,,SP-Museum and Interpretive Srv,single_interactive,unknown,low,https://cms.lbb.texas.gov/Default.aspx?aid=802&cid=CA-0007248,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. TimeLooper is an AR/VR exhibit-experience vendor; one of several same-day awards, multi-vendor on-call/IDIQ pool",TX
TX-0036,RALPH APPELBAUN ASSOC - MEZZANINE,Preservation Board,,2011,579845.0,,Exhibit Design Services,multi_station,n,high,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2012-24,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Bullock Texas State History Museum; Ralph Appelbaum Associates, design services only",TX
TX-0037,TEXAS A & M UNIVERSITY PRESS,Preservation Board,,2014,174769.0,,Installation of Exhibit,multi_station,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2014-52,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Bullock Texas State History Museum",TX
TX-0038,JUAN MANUEL BESA,Preservation Board,,2015,521089.0,,Exhibit Infrastructure Support,multi_station,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2015-43,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Bullock Texas State History Museum",TX
TX-0039,BLOOMFIELD KNOBLE INC,Preservation Board,,2016,69370.0,,Digital Exhibit,single_interactive,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2016-69,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Bullock Texas State History Museum",TX
TX-0040,AMERICAN COLOR LABS,Preservation Board,,2017,65000.0,,Exhibition Graphics,kiosk,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=809-17-5552,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Bullock Texas State History Museum",TX
TX-0041,MONDI GROUP LLC,Preservation Board,,2017,65155.0,,Exhibition Graphics,kiosk,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=809-18-5110,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Bullock Texas State History Museum",TX
TX-0042,KUBIK MALTBIE INC,Preservation Board,,2018,2568830.0,,Exhibit Fabrication,multi_station,y,high,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2018-31,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Bullock Texas State History Museum; Kubik Maltbie is a major national exhibit fabricator",TX
TX-0043,CLEGG INDUSTRIES INC,Preservation Board,,2018,104520.0,,Airplane Suspension for Exhibit,single_interactive,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2018-33,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Bullock Texas State History Museum",TX
TX-0044,CENTENNIAL CONTRACTORS ENTERPRISES INC,Preservation Board,,2019,140337.0,,Exhibit Expansion,multi_station,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2019-19,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Bullock Texas State History Museum",TX
TX-0045,TINA THOMAS,Preservation Board,,2019,94044.0,,Exhibit Design and Fabrication,single_interactive,y,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2019-22,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Bullock Texas State History Museum",TX
TX-0046,GRAMMY MUSEUM FOUNDATION INC,Preservation Board,,2016,140000.0,,Lease of Traveling Exhibition,other,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2016-21,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Lease of a traveling exhibition, not a design/fabrication contract",TX
TX-0047,THE ROCK AND ROLL HALL OF FAME AND MUSEUM INC,Preservation Board,,2015,120000.0,,Exhibit Lease,other,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2015-65,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Lease of a traveling exhibition, not a design/fabrication contract",TX
TX-0048,AMERICAN MUSEUM OF NATURAL HISTORY,Preservation Board,,2019,400000.0,,T-Rex Exhibition,other,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2019-27,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Lease of a traveling exhibition, not a design/fabrication contract",TX
TX-0049,MINNESOTA HISTORICAL SOCIETY,Preservation Board,,2017,300000.0,,Exhibit Lease,other,n,med,https://cms.lbb.texas.gov/Default.aspx?aid=809&cid=2017-103,"source: Texas LBB Contracts Database (CMS), full record set retrieved via the app's embedded Dash data layer. Lease of a traveling exhibition, not a design/fabrication contract",TX
